髓,-1,-1,15000,名詞,サ変接続,*,*,*,*,髓,ズイ,ズイ,0/2,C0
⣟,-1,-1,15000,名詞,サ変接続,*,*,*,*,⣟,イチニーサンヨンゴーナナハチノテン,イチニーサンヨンゴーナナハチノテン,0/17,C0
燥,-1,-1,15000,名詞,サ変接続,*,*,*,*,燥,ソー,ソー,0/2,C0
彦,-1,-1,15000,名詞,サ変接続,*,*,*,*,彦,ヒコ,ヒコ,0/2,C0
⑬,-1,-1,15000,名詞,サ変接続,*,*,*,*,⑬,マルジューサン,マルジューサン,0/7,C0
⡴,-1,-1,15000,名詞,サ変接続,*,*,*,*,⡴,サンゴーロクナナノテン,サンゴーロクナナノテン,0/11,C0
瘋,-1,-1,15000,名詞,サ変接続,*,*,*,*,瘋,フー,フー,0/2,C0
覊,-1,-1,15000,名詞,サ変接続,*,*,*,*,覊,キ,キ,0/1,C0
﨓,-1,-1,15000,名詞,サ変接続,*,*,*,*,﨓,フ,フ,0/1,C0
З,-1,-1,15000,名詞,サ変接続,*,*,*,*,З,ゼー,ゼー,0/2,C0
漱,-1,-1,15000,名詞,サ変接続,*,*,*,*,漱,ソー,ソー,0/2,C0
濆,-1,-1,15000,名詞,サ変接続,*,*,*,*,濆,フン,フン,0/2,C0
證,-1,-1,15000,名詞,サ変接続,*,*,*,*,證,ショー,ショー,0/3,C0
槊,-1,-1,15000,名詞,サ変接続,*,*,*,*,槊,サク,サク,0/2,C0
珎,-1,-1,15000,名詞,サ変接続,*,*,*,*,珎,チン,チン,0/2,C0
饕,-1,-1,15000,名詞,サ変接続,*,*,*,*,饕,トー,トー,0/2,C0
臚,-1,-1,15000,名詞,サ変接続,*,*,*,*,臚,リョ,リョ,0/2,C0
桟,-1,-1,15000,名詞,サ変接続,*,*,*,*,桟,サン,サン,0/2,C0
闢,-1,-1,15000,名詞,サ変接続,*,*,*,*,闢,ヘキ,ヘキ,0/2,C0
詳,-1,-1,15000,名詞,サ変接続,*,*,*,*,詳,ショー,ショー,0/3,C0
鑷,-1,-1,15000,名詞,サ変接続,*,*,*,*,鑷,ジョー,ジョー,0/3,C0
蜀,-1,-1,15000,名詞,サ変接続,*,*,*,*,蜀,ショク,ショク,0/3,C0
悅,-1,-1,15000,名詞,サ変接続,*,*,*,*,悅,エツ,エツ,0/2,C0
刎,-1,-1,15000,名詞,サ変接続,*,*,*,*,刎,フン,フン,0/2,C0
